产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
04292X0032010A,墨鱼-西班牙,摇篮到大门,3.57tCO2e / 公吨,-,2010,文献数据,否
17300X0012020A,壁挂式燃气锅炉,摇篮到大门,104kgCO2e / 平方米,-,2020,文献数据,否
32191X0012011A,复印纸,摇篮到坟墓,1756.18kgCO2e / 公吨,-,2011,文献数据,否
34641X0012013A,复混肥料,摇篮到大门,2.47tCO2e / 公吨,-,2013,文献数据,否
69230X0032010A,夏季居民生活用水的能源消耗（其他洗漱用水）,摇篮到大门,0.12kgCO2e / 立方米,-,2010,文献数据,否
69230X0022010A,夏季居民生活用水的能源消耗（洗衣机用水）,摇篮到大门,0.19kgCO2e / 立方米,-,2010,文献数据,否
69230X0012010A,夏季居民生活用水的能源消耗（淋浴用水）,摇篮到大门,4.44kgCO2e / 立方米,-,2010,文献数据,否
24410X0012010A,夏季居民生活用水的能源消耗（饮用水）,摇篮到大门,1.19kgCO2e / 立方米,-,2010,文献数据,否
34170R0062019A,多元醇,摇篮到大门,49.71gCO2e / 兆焦,-,2019,文献数据,否
38140X0032015A,多功能家具（三聚氰胺板）,摇篮到大门,55.87kgCO2e / 个,-,2015,文献数据,否
38140X0042015A,多功能家具（大皮板）,摇篮到大门,74.66kgCO2e / 个,-,2015,文献数据,否
38140X0062015A,多功能家具（嵌条板）,摇篮到大门,101.33kgCO2e / 个,-,2015,文献数据,否
